Time,Average(B)
(us),(mV)

-20.00397884,-0.02469840
-19.99147884,-0.02630794
-19.97897884,-0.02755738
-19.96647884,-0.02480334
-19.95397884,-0.02632225
-19.94147884,-0.02611480
-19.92897884,-0.02321766
-19.91647884,-0.01855600
-19.90397884,-0.02578573
-19.89147885,-0.02542807
-19.87897885,-0.02308889
-19.86647885,-0.02772909
-19.85397885,-0.02610527
-19.84147885,-0.02355149
-19.82897885,-0.02512285
-19.81647885,-0.02892133
-19.80397885,-0.02621017
-19.79147885,-0.02100247
-19.77897885,-0.02255241
-19.76647885,-0.02669184
-19.75397885,-0.02515624
-19.74147885,-0.02413329
-19.72897886,-0.02256430
-19.71647886,-0.02328920
-19.70397886,-0.02693268
-19.69147886,-0.02694220
-19.67897886,-0.02771955
-19.66647886,-0.02918363
-19.65397886,-0.02798900
-19.64147886,-0.02308889
-19.62897886,-0.02188951
-19.61647886,-0.02298159
-19.60397886,-0.01912589
-19.59147886,-0.01783351
-19.57897886,-0.01662936
-19.56647886,-0.02245223
-19.55397887,-0.02475087
-19.54147887,-0.02750733
-19.52897887,-0.02398069
-19.51647887,-0.02276698
-19.50397887,-0.02579528
-19.49147887,-0.02504894
-19.47897887,-0.02637232
-19.46647887,-0.02350380
-19.45397887,-0.02448382
-19.44147887,-0.02448858
-19.42897887,-0.02402599
-19.41647887,-0.02495833
-19.40397887,-0.02763372
-19.39147888,-0.02839436
-19.37897888,-0.02360871
-19.36647888,-0.02658215
-19.35397888,-0.02413090
-19.34147888,-0.02319383
-19.32897888,-0.02517294
-19.31647888,-0.02200874
-19.30397888,-0.02548052
-19.29147888,-0.02643193
-19.27897888,-0.02829183
-19.26647888,-0.03079792
-19.25397888,-0.02482480
-19.24147888,-0.02876157
-19.22897888,-0.02309367
-19.21647889,-0.02412137
-19.20397889,-0.02251184
-19.19147889,-0.02158191
-19.17897889,-0.02016552
-19.16647889,-0.02095957
-19.15397889,-0.02501794
-19.14147889,-0.02173214
-19.12897889,-0.02303644
-19.11647889,-0.02240932
-19.10397889,-0.02809153
-19.09147889,-0.03126290
-19.07897889,-0.03204260
-19.06647889,-0.02693029
-19.05397890,-0.02375654
-19.04147890,-0.02449813
-19.02897890,-0.02453149
-19.01647890,-0.02157715
-19.00397890,-0.02559021
-18.99147890,-0.02422868
-18.97897890,-0.02435267
-18.96647890,-0.02098817
-18.95397890,-0.02318904
-18.94147890,-0.02694459
-18.92897890,-0.02808438
-18.91647890,-0.02522299
-18.90397890,-0.02265016
-18.89147890,-0.02662985
-18.87897891,-0.02689214
-18.86647891,-0.02167491
-18.85397891,-0.02277892
-18.84147891,-0.02059235
-18.82897891,-0.02068773
-18.81647891,-0.02387339
-18.80397891,-0.02523255
-18.79147891,-0.02341080
-18.77897891,-0.02136493
-18.76647891,-0.02266922
-18.75397891,-0.02569513
-18.74147891,-0.02553775
-18.72897891,-0.02334164
-18.71647892,-0.02760986
-18.70397892,-0.02589304
-18.69147892,-0.02043498
-18.67897892,-0.01864422
-18.66647892,-0.02074735
-18.65397892,-0.02512047
-18.64147892,-0.02616489
-18.62897892,-0.02626025
-18.61647892,-0.02412852
-18.60397892,-0.02403792
-18.59147892,-0.02501079
-18.57897892,-0.02418576
-18.56647892,-0.02078549
-18.55397892,-0.02115508
-18.54147893,-0.02219710
-18.52897893,-0.02194912
-18.51647893,-0.02199681
-18.50397893,-0.02073541
-18.49147893,-0.02199680
-18.47897893,-0.02471033
-18.46647893,-0.02860895
-18.45397893,-0.02563552
-18.44147893,-0.02543046
-18.42897893,-0.02637470
-18.41647893,-0.02460781
-18.40397893,-0.02715920
-18.39147893,-0.02413329
-18.37897894,-0.02573329
-18.36647894,-0.02136491
-18.35397894,-0.02189666
-18.34147894,-0.02272646
-18.32897894,-0.02287908
-18.31647894,-0.02281467
-18.30397894,-0.02109786
-18.29147894,-0.02282661
-18.27897894,-0.02157713
-18.26647894,-0.02239502
-18.25397894,-0.02120515
-18.24147894,-0.01714677
-18.22897894,-0.01630744
-18.21647894,-0.01849401
-18.20397895,-0.02309605
-18.19147895,-0.02349902
-18.17897895,-0.02210887
-18.16647895,-0.02116224
-18.15397895,-0.02146507
-18.14147895,-0.02469603
-18.12897895,-0.02536845
-18.11647895,-0.02397352
-18.10397895,-0.02585489
-18.09147895,-0.02975827
-18.07897895,-0.02016076
-18.06647895,-0.02313420
-18.05397895,-0.02396162
-18.04147896,-0.02329157
-18.02897896,-0.02614578
-18.01647896,-0.02814399
-18.00397896,-0.02735711
-17.99147896,-0.02043020
-17.97897896,-0.02161528
-17.96647896,-0.02187520
-17.95397896,-0.02094525
-17.94147896,-0.01933334
-17.92897896,-0.02319143
-17.91647896,-0.02392107
-17.90397896,-0.02491540
-17.89147896,-0.02496548
-17.87897897,-0.02147223
-17.86647897,-0.02970582
-17.85397897,-0.02543522
-17.84147897,-0.02822506
-17.82897897,-0.02501793
-17.81647897,-0.02437889
-17.80397897,-0.02229247
-17.79147897,-0.02167015
-17.77897897,-0.02375656
-17.76647897,-0.02460304
-17.75397897,-0.02684684
-17.74147897,-0.02454820
-17.72897897,-0.02392107
-17.71647897,-0.02726173
-17.70397898,-0.02792937
-17.69147898,-0.02252140
-17.67897898,-0.02318428
-17.66647898,-0.02793892
-17.65397898,-0.02594788
-17.64147898,-0.02693983
-17.62897898,-0.02455537
-17.61647898,-0.02033245
-17.60397898,-0.02057328
-17.59147898,-0.02276222
-17.57897898,-0.02439559
-17.56647898,-0.02239501
-17.55397898,-0.02173211
-17.54147899,-0.02830612
-17.52897899,-0.02518247
-17.51647899,-0.02497264
-17.50397899,-0.02244031
-17.49147899,-0.02272645
-17.47897899,-0.02720449
-17.46647899,-0.02432882
-17.45397899,-0.02641285
-17.44147899,-0.02652016
-17.42897899,-0.02646769
-17.41647899,-0.02596696
-17.40397899,-0.02528738
-17.39147899,-0.03058808
-17.37897899,-0.02656070
-17.36647900,-0.02787693
-17.35397900,-0.02588827
-17.34147900,-0.02676575
-17.32897900,-0.02630555
-17.31647900,-0.02470081
-17.30397900,-0.02590259
-17.29147900,-0.02553776
-17.27897900,-0.02803192
-17.26647900,-0.02851120
-17.25397900,-0.02641763
-17.24147900,-0.02527785
-17.22897900,-0.02478902
-17.21647900,-0.02391869
-17.20397901,-0.02114554
-17.19147901,-0.02250708
-17.17897901,-0.02253093
-17.16647901,-0.02323435
-17.15397901,-0.02063050
-17.14147901,-0.02565221
-17.12897901,-0.02694459
-17.11647901,-0.02304596
-17.10397901,-0.02315327
-17.09147901,-0.02511092
-17.07897901,-0.02652971
-17.06647901,-0.02662507
-17.05397901,-0.02778393
-17.04147901,-0.02387578
-17.02897902,-0.02183227
-17.01647902,-0.01818879
-17.00397902,-0.02018461
-16.99147902,-0.02652969
-16.97897902,-0.02553059
-16.96647902,-0.02510139
-16.95397902,-0.02172974
-16.94147902,-0.01866807
-16.92897902,-0.02411899
-16.91647902,-0.02616725
-16.90397902,-0.02898093
-16.89147902,-0.02921699
-16.87897902,-0.02513000
-16.86647903,-0.02574758
-16.85397903,-0.02526353
-16.84147903,-0.02558307
-16.82897903,-0.02157473
-16.81647903,-0.01953364
-16.80397903,-0.02151754
-16.79147903,-0.02465550
-16.77897903,-0.02012738
-16.76647903,-0.01923318
-16.75397903,-0.02198250
-16.74147903,-0.02559736
-16.72897903,-0.02303882
-16.71647903,-0.02516817
-16.70397903,-0.02553537
-16.69147904,-0.02194195
-16.67897904,-0.02579767
-16.66647904,-0.02601465
-16.65397904,-0.02599557
-16.64147904,-0.02538037
-16.62897904,-0.02381377
-16.61647904,-0.02647009
-16.60397904,-0.02531600
-16.59147904,-0.02682774
-16.57897904,-0.02444566
-16.56647904,-0.02370648
-16.55397904,-0.02423106
-16.54147904,-0.02528500
-16.52897905,-0.02547576
-16.51647905,-0.02782208
-16.50397905,-0.02647962
-16.49147905,-0.02402837
-16.47897905,-0.02513000
-16.46647905,-0.02448382
-16.45397905,-0.02586442
-16.44147905,-0.02156998
-16.42897905,-0.02412376
-16.41647905,-0.02632463
-16.40397905,-0.02574520
-16.39147905,-0.02439082
-16.37897905,-0.02557828
-16.36647905,-0.02502031
-16.35397906,-0.02261439
-16.34147906,-0.02178696
-16.32897906,-0.01803142
-16.31647906,-0.02069011
-16.30397906,-0.02282899
-16.29147906,-0.02740957
-16.27897906,-0.02331543
-16.26647906,-0.02287906
-16.25397906,-0.02278129
-16.24147906,-0.02574519
-16.22897906,-0.02908348
-16.21647906,-0.02640809
-16.20397906,-0.02668230
-16.19147907,-0.02313419
-16.17897907,-0.02610764
-16.16647907,-0.02627455
-16.15397907,-0.02117178
-16.14147907,-0.02151276
-16.12897907,-0.02813205
-16.11647907,-0.02433121
-16.10397907,-0.02538991
-16.09147907,-0.02575474
-16.07897907,-0.02776724
-16.06647907,-0.02532791
-16.05397907,-0.02319381
-16.04147907,-0.02255238
-16.02897907,-0.02058519
-16.01647908,-0.02100248
-16.00397908,-0.02492495
-15.99147908,-0.02734996
-15.97897908,-0.02845874
-15.96647908,-0.02636279
-15.95397908,-0.02741435
-15.94147908,-0.02709242
-15.92897908,-0.02792462
-15.91647908,-0.02783161
-15.90397908,-0.02756455
-15.89147908,-0.02636039
-15.87897908,-0.02725936
-15.86647908,-0.02724505
-15.85397909,-0.03120088
-15.84147909,-0.02844682
-15.82897909,-0.02746202
-15.81647909,-0.03058331
-15.80397909,-0.02966766
-15.79147909,-0.02804145
-15.77897909,-0.02251901
-15.76647909,-0.02791984
-15.75397909,-0.02641285
-15.74147909,-0.02428591
-15.72897909,-0.02521346
-15.71647909,-0.02813444
-15.70397909,-0.02506801
-15.69147909,-0.02460542
-15.67897910,-0.01938579
-15.66647910,-0.02193957
-15.65397910,-0.02350141
-15.64147910,-0.02515862
-15.62897910,-0.02278846
-15.61647910,-0.02955321
-15.60397910,-0.02646770
-15.59147910,-0.02501077
-15.57897910,-0.02615771
-15.56647910,-0.02512286
-15.55397910,-0.02595742
-15.54147910,-0.02448619
-15.52897910,-0.02636993
-15.51647911,-0.02652969
-15.50397911,-0.02632940
-15.49147911,-0.02710435
-15.47897911,-0.02276698
-15.46647911,-0.02027521
-15.45397911,-0.02026329
-15.44147911,-0.02068774
-15.42897911,-0.02314136
-15.41647911,-0.02433836
-15.40397911,-0.02824413
-15.39147911,-0.02888080
-15.37897911,-0.02397829
-15.36647911,-0.02689452
-15.35397911,-0.02677053
-15.34147912,-0.02265728
-15.32897912,-0.02298160
-15.31647912,-0.02444566
-15.30397912,-0.02277653
-15.29147912,-0.02770763
-15.27897912,-0.03005397
-15.26647912,-0.03033057
-15.25397912,-0.03220236
-15.24147912,-0.02875679
-15.22897912,-0.02688975
-15.21647912,-0.02631271
-15.20397912,-0.02412376
-15.19147912,-0.02661076
-15.17897913,-0.02755263
-15.16647913,-0.02776963
-15.15397913,-0.02756933
-15.14147913,-0.01965763
-15.12897913,-0.01995808
-15.11647913,-0.02340603
-15.10397913,-0.02397593
-15.09147913,-0.02632225
-15.07897913,-0.02262868
-15.06647913,-0.02147461
-15.05397913,-0.02578812
-15.04147913,-0.02449573
-15.02897913,-0.02460543
-15.01647913,-0.02636040
-15.00397914,-0.02506085
-14.99147914,-0.02178221
-14.97897914,-0.02468650
-14.96647914,-0.02355149
-14.95397914,-0.02391868
-14.94147914,-0.02314374
-14.92897914,-0.02477234
-14.91647914,-0.02153659
-14.90397914,-0.02494879
-14.89147914,-0.02340604
-14.87897914,-0.02379947
-14.86647914,-0.02236640
-14.85397914,-0.02309368
-14.84147915,-0.02571420
-14.82897915,-0.02313897
-14.81647915,-0.02219472
-14.80397915,-0.02554013
-14.79147915,-0.02664176
-14.77897915,-0.02767185
-14.76647915,-0.02558305
-14.75397915,-0.02511808
-14.74147915,-0.02335358
-14.72897915,-0.02549245
-14.71647915,-0.02776963
-14.70397915,-0.02584773
-14.69147915,-0.02631032
-14.67897915,-0.02809869
-14.66647916,-0.03131296
-14.65397916,-0.03005873
-14.64147916,-0.02621255
-14.62897916,-0.02361825
-14.61647916,-0.02647963
-14.60397916,-0.02720211
-14.59147916,-0.02599318
-14.57897916,-0.02150799
-14.56647916,-0.02808677
-14.55397916,-0.02807960
-14.54147916,-0.02647248
-14.52897916,-0.02876157
-14.51647916,-0.02693268
-14.50397917,-0.02528023
-14.49147917,-0.02745963
-14.47897917,-0.02261916
-14.46647917,-0.02391153
-14.45397917,-0.02131485
-14.44147917,-0.02427398
-14.42897917,-0.02172736
-14.41647917,-0.02490109
-14.40397917,-0.02677768
-14.39147917,-0.02819167
-14.37897917,-0.02657024
-14.36647917,-0.02856365
-14.35397917,-0.02745249
-14.34147918,-0.02328919
-14.32897918,-0.02224717
-14.31647918,-0.02992520
-14.30397918,-0.02703758
-14.29147918,-0.02365402
-14.27897918,-0.02391631
-14.26647918,-0.02500839
-14.25397918,-0.02298398
-14.24147918,-0.02820837
-14.22897918,-0.02630794
-14.21647918,-0.02730703
-14.20397918,-0.02750972
-14.19147918,-0.02526593
-14.17897918,-0.03185185
-14.16647919,-0.02683253
-14.15397919,-0.02720213
