Time,Average(B)
(us),(mV)

-20.00738825,-0.01870622
-19.99488825,-0.01986508
-19.98238825,-0.01876345
-19.96988825,-0.01923082
-19.95738825,-0.01694411
-19.94488826,-0.01693218
-19.93238826,-0.01975540
-19.91988826,-0.01558495
-19.90738826,-0.01699180
-19.89488826,-0.02021322
-19.88238826,-0.02015838
-19.86988826,-0.02011783
-19.85738826,-0.01813634
-19.84488826,-0.01567317
-19.83238826,-0.01370598
-19.81988826,-0.01537273
-19.80738826,-0.01875631
-19.79488826,-0.02303406
-19.78238827,-0.02575235
-19.76988827,-0.02512285
-19.75738827,-0.02348948
-19.74488827,-0.02266685
-19.73238827,-0.02260962
-19.71988827,-0.02500125
-19.70738827,-0.02298399
-19.69488827,-0.01797896
-19.68238827,-0.01960279
-19.66988827,-0.01818163
-19.65738827,-0.01630506
-19.64488827,-0.01588778
-19.63238827,-0.01651013
-19.61988827,-0.02230918
-19.60738828,-0.02437652
-19.59488828,-0.02032528
-19.58238828,-0.02257145
-19.56988828,-0.01442609
-19.55738828,-0.02235924
-19.54488828,-0.02131008
-19.53238828,-0.01782636
-19.51988828,-0.02064481
-19.50738828,-0.02100964
-19.49488828,-0.01657212
-19.48238828,-0.01625021
-19.46988828,-0.01751161
-19.45738828,-0.01240405
-19.44488829,-0.01338884
-19.43238829,-0.01510566
-19.41988829,-0.01761651
-19.40738829,-0.01916882
-19.39488829,-0.01391343
-19.38238829,-0.01585200
-19.36988829,-0.01694409
-19.35738829,-0.01735899
-19.34488829,-0.01942156
-19.33238829,-0.01797659
-19.31988829,-0.01650536
-19.30738829,-0.01855599
-19.29488829,-0.01870861
-19.28238829,-0.01890651
-19.26988830,-0.01902097
-19.25738830,-0.01989132
-19.24488830,-0.01698940
-19.23238830,-0.02121947
-19.21988830,-0.02017029
-19.20738830,-0.02173212
-19.19488830,-0.02204689
-19.18238830,-0.02225195
-19.16988830,-0.02266685
-19.15738830,-0.02103825
-19.14488830,-0.02064719
-19.13238830,-0.01913305
-19.11988830,-0.02631509
-19.10738831,-0.02377085
-19.09488831,-0.02204690
-19.08238831,-0.02438844
-19.06988831,-0.01959087
-19.05738831,-0.01563979
-19.04488831,-0.01718970
-19.03238831,-0.01803141
-19.01988831,-0.01760222
-19.00738831,-0.01912590
-18.99488831,-0.01734469
-18.98238831,-0.02101202
-18.96988831,-0.02006776
-18.95738831,-0.02194673
-18.94488831,-0.01892084
-18.93238832,-0.02298636
-18.91988832,-0.02235210
-18.90738832,-0.01934527
-18.89488832,-0.02261676
-18.88238832,-0.02110502
-18.86988832,-0.02257623
-18.85738832,-0.02210411
-18.84488832,-0.01986032
-18.83238832,-0.01771667
-18.81988832,-0.01249228
-18.80738832,-0.01563263
-18.79488832,-0.01604753
-18.78238832,-0.01777151
-18.76988833,-0.01896613
-18.75738833,-0.01683202
-18.74488833,-0.02334404
-18.73238833,-0.02370408
-18.71988833,-0.01881114
-18.70738833,-0.01875392
-18.69488833,-0.02313896
-18.68238833,-0.01725646
-18.66988833,-0.02256670
-18.65738833,-0.02188712
-18.64488833,-0.02010831
-18.63238833,-0.02319619
-18.61988833,-0.02229725
-18.60738833,-0.01996761
-18.59488834,-0.02005823
-18.58238834,-0.02314374
-18.56988834,-0.02720688
-18.55738834,-0.01923320
-18.54488834,-0.01938580
-18.53238834,-0.02205166
-18.51988834,-0.02121947
-18.50738834,-0.01948833
-18.49488834,-0.01583770
-18.48238834,-0.01782636
-18.46988834,-0.02085464
-18.45738834,-0.02032767
-18.44488834,-0.01892083
-18.43238835,-0.01765468
-18.41988835,-0.02095718
-18.40738835,-0.02011785
-18.39488835,-0.02011546
-18.38238835,-0.01589970
-18.36988835,-0.01433548
-18.35738835,-0.01511759
-18.34488835,-0.01969818
-18.33238835,-0.02245939
-18.31988835,-0.02148892
-18.30738835,-0.01891844
-18.29488835,-0.02182988
-18.28238835,-0.02355149
-18.26988836,-0.01866807
-18.25738836,-0.02279084
-18.24488836,-0.02609812
-18.23238836,-0.02314851
-18.21988836,-0.01923558
-18.20738836,-0.02028237
-18.19488836,-0.01750683
-18.18238836,-0.01861085
-18.16988836,-0.01356768
-18.15738836,-0.02069488
-18.14488836,-0.01610237
-18.13238836,-0.01720401
-18.11988836,-0.02230201
-18.10738836,-0.01725646
-18.09488837,-0.01838194
-18.08238837,-0.02074495
-18.06988837,-0.02203973
-18.05738837,-0.02564028
-18.04488837,-0.01969579
-18.03238837,-0.01836764
-18.01988837,-0.01761890
-18.00738837,-0.01754976
-17.99488837,-0.01614768
-17.98238837,-0.02276699
-17.96988837,-0.02126477
-17.95738837,-0.02074018
-17.94488837,-0.01818163
-17.93238838,-0.02038728
-17.91988838,-0.02283376
-17.90738838,-0.02162959
-17.89488838,-0.01860369
-17.88238838,-0.02032052
-17.86988838,-0.02429305
-17.85738838,-0.01871815
-17.84488838,-0.02178220
-17.83238838,-0.02435267
-17.81988838,-0.02694460
-17.80738838,-0.02317951
-17.79488838,-0.02219711
-17.78238838,-0.01980547
-17.76988838,-0.02064004
-17.75738839,-0.01543234
-17.74488839,-0.01693217
-17.73238839,-0.01792888
-17.71988839,-0.02089280
-17.70738839,-0.01891368
-17.69488839,-0.01714916
-17.68238839,-0.01808864
-17.66988839,-0.01568986
-17.65738839,-0.01950264
-17.64488839,-0.02203735
-17.63238839,-0.02287668
-17.61988839,-0.02324388
-17.60738839,-0.02475804
-17.59488840,-0.02479857
-17.58238840,-0.02391868
-17.56988840,-0.02183228
-17.55738840,-0.02069011
-17.54488840,-0.02506086
-17.53238840,-0.02466027
-17.51988840,-0.02450051
-17.50738840,-0.02313419
-17.49488840,-0.01813872
-17.48238840,-0.01985316
-17.46988840,-0.02088802
-17.45738840,-0.01991039
-17.44488840,-0.01745913
-17.43238840,-0.01886598
-17.41988841,-0.01725885
-17.40738841,-0.01974349
-17.39488841,-0.02552821
-17.38238841,-0.01975541
-17.36988841,-0.01502221
-17.35738841,-0.01981023
-17.34488841,-0.01995808
-17.33238841,-0.01970293
-17.31988841,-0.01657451
-17.30738841,-0.02038727
-17.29488841,-0.02100964
-17.28238841,-0.02069013
-17.26988841,-0.02052559
-17.25738842,-0.01854646
-17.24488842,-0.01917835
-17.23238842,-0.02069727
-17.21988842,-0.02458635
-17.20738842,-0.02252616
-17.19488842,-0.01865378
-17.18238842,-0.01807910
-17.16988842,-0.02064719
-17.15738842,-0.01917358
-17.14488842,-0.02304121
-17.13238842,-0.02423105
-17.11988842,-0.02084033
-17.10738842,-0.01876345
-17.09488842,-0.02485103
-17.08238843,-0.02386623
-17.06988843,-0.01850355
-17.05738843,-0.01703471
-17.04488843,-0.01839148
-17.03238843,-0.01714201
-17.01988843,-0.02058280
-17.00738843,-0.01642189
-16.99488843,-0.01824126
-16.98238843,-0.01880876
-16.96988843,-0.02152230
-16.95738843,-0.01853692
-16.94488843,-0.01955033
-16.93238843,-0.02094525
-16.91988844,-0.02203972
-16.90738844,-0.01985793
-16.89488844,-0.01950741
-16.88238844,-0.02283137
-16.86988844,-0.02188951
-16.85738844,-0.01964572
-16.84488844,-0.01678910
-16.83238844,-0.01907344
-16.81988844,-0.01818880
-16.80738844,-0.02106209
-16.79488844,-0.02043974
-16.78238844,-0.01807671
-16.76988844,-0.01819117
-16.75738844,-0.01802188
-16.74488845,-0.01965048
-16.73238845,-0.01791934
-16.71988845,-0.02047074
-16.70738845,-0.01611192
-16.69488845,-0.01777629
-16.68238845,-0.01401119
-16.66988845,-0.01105205
-16.65738845,-0.01861323
-16.64488845,-0.02276937
-16.63238845,-0.02303166
-16.61988845,-0.01997000
-16.60738845,-0.02089995
-16.59488845,-0.02308651
-16.58238846,-0.02108831
-16.56988846,-0.01958372
-16.55738846,-0.01818880
-16.54488846,-0.01844155
-16.53238846,-0.01658643
-16.51988846,-0.01573040
-16.50738846,-0.01714440
-16.49488846,-0.01817449
-16.48238846,-0.01892083
-16.46988846,-0.01318139
-16.45738846,-0.01674380
-16.44488846,-0.01907345
-16.43238846,-0.02229246
-16.41988846,-0.02157477
-16.40738847,-0.02064004
-16.39488847,-0.01777152
-16.38238847,-0.02037297
-16.36988847,-0.01829848
-16.35738847,-0.02199442
-16.34488847,-0.02085226
-16.33238847,-0.01767137
-16.31988847,-0.02040160
-16.30738847,-0.02559021
-16.29488847,-0.02527070
-16.28238847,-0.01896614
-16.26988847,-0.01803141
-16.25738847,-0.02267637
-16.24488848,-0.01949311
-16.23238848,-0.01856553
-16.21988848,-0.02318665
-16.20738848,-0.02219948
-16.19488848,-0.02693745
-16.18238848,-0.02522061
-16.16988848,-0.02068773
-16.15738848,-0.02173213
-16.14488848,-0.02428830
-16.13238848,-0.02032051
-16.11988848,-0.02299113
-16.10738848,-0.02078311
-16.09488848,-0.01642428
-16.08238848,-0.01672234
-16.06988849,-0.01899236
-16.05738849,-0.01598554
-16.04488849,-0.01516766
-16.03238849,-0.01687017
-16.01988849,-0.01391104
-16.00738849,-0.01564457
-15.99488849,-0.01698464
-15.98238849,-0.01345322
-15.96988849,-0.01594262
-15.95738849,-0.01506751
-15.94488849,-0.01396350
-15.93238849,-0.02115269
-15.91988849,-0.02403792
-15.90738850,-0.02120039
-15.89488850,-0.01865138
-15.88238850,-0.01658165
-15.86988850,-0.01979831
-15.85738850,-0.01726124
-15.84488850,-0.01506989
-15.83238850,-0.01720878
-15.81988850,-0.02021321
-15.80738850,-0.02334404
-15.79488850,-0.02135061
-15.78238850,-0.01907105
-15.76988850,-0.02183227
-15.75738850,-0.02075688
-15.74488850,-0.02007014
-15.73238851,-0.02194434
-15.71988851,-0.02135777
-15.70738851,-0.02121469
-15.69488851,-0.02017267
-15.68238851,-0.01985316
-15.66988851,-0.01823887
-15.65738851,-0.01875630
-15.64488851,-0.02141499
-15.63238851,-0.01860370
-15.61988851,-0.01403980
-15.60738851,-0.01724692
-15.59488851,-0.01641713
-15.58238851,-0.01504843
-15.56988852,-0.01531788
-15.55738852,-0.01782636
-15.54488852,-0.01980309
-15.53238852,-0.01682726
-15.51988852,-0.01489822
-15.50738852,-0.01667226
-15.49488852,-0.01719446
-15.48238852,-0.01709909
-15.46988852,-0.01792412
-15.45738852,-0.01817210
-15.44488852,-0.01522966
-15.43238852,-0.01468599
-15.41988852,-0.01902813
-15.40738852,-0.01704901
-15.39488853,-0.02062811
-15.38238853,-0.01730177
-15.36988853,-0.01745676
-15.35738853,-0.01641236
-15.34488853,-0.01423533
-15.33238853,-0.01438556
-15.31988853,-0.01609999
-15.30738853,-0.01490298
-15.29488853,-0.01636944
-15.28238853,-0.01892083
-15.26988853,-0.01875630
-15.25738853,-0.01739476
-15.24488853,-0.01516766
-15.23238854,-0.01824364
-15.21988854,-0.02130293
-15.20738854,-0.01963379
-15.19488854,-0.01735899
-15.18238854,-0.01396350
-15.16988854,-0.02094287
-15.15738854,-0.01808626
-15.14488854,-0.01844632
-15.13238854,-0.01666749
-15.11988854,-0.01799566
-15.10738854,-0.01850116
-15.09488854,-0.02048029
-15.08238854,-0.02126000
-15.06988854,-0.01646243
-15.05738855,-0.01480283
-15.04488855,-0.01887314
-15.03238855,-0.01510566
-15.01988855,-0.01229437
-15.00738855,-0.01770475
-14.99488855,-0.02334881
-14.98238855,-0.01848924
-14.96988855,-0.02219710
-14.95738855,-0.01846539
-14.94488855,-0.01939057
-14.93238855,-0.02047790
-14.91988855,-0.02337980
-14.90738855,-0.02292199
-14.89488856,-0.01641712
-14.88238856,-0.01704186
-14.86988856,-0.01959087
-14.85738856,-0.01856791
-14.84488856,-0.01944304
-14.83238856,-0.02298875
-14.81988856,-0.02235208
-14.80738856,-0.01922604
-14.79488856,-0.01922605
-14.78238856,-0.01745199
-14.76988856,-0.01584485
-14.75738856,-0.01708955
-14.74488856,-0.01844870
-14.73238857,-0.01872053
-14.71988857,-0.01731370
-14.70738857,-0.01761414
-14.69488857,-0.01959087
-14.68238857,-0.02074496
-14.66988857,-0.01677242
-14.65738857,-0.01959325
-14.64488857,-0.01985793
-14.63238857,-0.01970055
-14.61988857,-0.02162005
-14.60738857,-0.01974825
-14.59488857,-0.02084033
-14.58238857,-0.01965287
-14.56988857,-0.01272357
-14.55738858,-0.01063477
-14.54488858,-0.01527019
-14.53238858,-0.01531550
-14.51988858,-0.02115986
-14.50738858,-0.02099532
-14.49488858,-0.01918789
-14.48238858,-0.01703947
-14.46988858,-0.01876584
-14.45738858,-0.01813633
-14.44488858,-0.01544426
-14.43238858,-0.01933572
-14.41988858,-0.01970293
-14.40738858,-0.01820072
-14.39488859,-0.02074256
-14.38238859,-0.02085225
-14.36988859,-0.02231394
-14.35738859,-0.02057803
-14.34488859,-0.01813396
-14.33238859,-0.01390150
-14.31988859,-0.02059473
-14.30738859,-0.02398308
-14.29488859,-0.02307220
-14.28238859,-0.02464596
-14.26988859,-0.02414284
-14.25738859,-0.01709671
-14.24488859,-0.01651728
-14.23238859,-0.02199442
-14.21988860,-0.02411899
-14.20738860,-0.02574996
-14.19488860,-0.02260724
-14.18238860,-0.01900905
-14.16988860,-0.01740192
-14.15738860,-0.02089518
